Temperature Data for Maldives (derived from WMO normals and GSA data);;;;;;;
;;;;
Provider;Generated from WMO Climate Normals 1981-2010;;;;;;;;;;
2024.0;12.0;10.0;14.0;29.13;29.13;28.13;30.13;2;25.1;80;4.5
2024.0;12.0;10.0;15.0;30.37;30.37;29.37;31.37;2;26.4;80;4.5
2024.0;12.0;10.0;16.0;30.23;30.23;29.23;31.23;2;26.2;80;4.5
2024.0;12.0;10.0;17.0;30.89;30.89;29.89;31.89;2;26.9;80;4.5
2024.0;12.0;10.0;18.0;30.71;30.71;29.71;31.71;2;26.7;80;4.5
2024.0;12.0;10.0;19.0;29.32;29.32;28.32;30.32;2;25.3;80;4.5
2024.0;12.0;10.0;20.0;29.61;29.61;28.61;30.61;2;25.6;80;4.5
2024.0;12.0;10.0;21.0;28.82;28.82;27.82;29.82;2;24.8;80;4.5
2024.0;12.0;10.0;22.0;28.59;28.59;27.59;29.59;2;24.6;80;4.5
2024.0;12.0;10.0;23.0;28.18;28.18;27.18;29.18;2;24.2;80;4.5
2024.0;12.0;10.0;24.0;27.46;27.46;26.46;28.46;2;23.5;80;4.5
2024.0;12.0;11.0;1.0;27.37;27.37;26.37;28.37;2;23.4;80;4.5
2024.0;12.0;11.0;2.0;26.53;26.53;25.53;27.53;2;22.5;80;4.5
2024.0;12.0;11.0;3.0;25.97;25.97;24.97;26.97;2;22.0;80;4.5
2024.0;12.0;11.0;4.0;26.08;26.08;25.08;27.08;2;22.1;80;4.5
2024.0;12.0;11.0;5.0;26.6;26.6;25.60;27.60;2;22.6;80;4.5
2024.0;12.0;11.0;6.0;26.6;26.6;25.60;27.60;2;22.6;80;4.5
2024.0;12.0;11.0;7.0;28.06;28.06;27.06;29.06;2;24.1;80;4.5
2024.0;12.0;11.0;8.0;27.47;27.47;26.47;28.47;2;23.5;80;4.5
2024.0;12.0;11.0;9.0;28.59;28.59;27.59;29.59;2;24.6;80;4.5
2024.0;12.0;11.0;10.0;29.59;29.59;28.59;30.59;2;25.6;80;4.5
2024.0;12.0;11.0;11.0;29.57;29.57;28.57;30.57;2;25.6;80;4.5
2024.0;12.0;11.0;12.0;29.86;29.86;28.86;30.86;2;25.9;80;4.5
2024.0;12.0;11.0;13.0;30.28;30.28;29.28;31.28;2;26.3;80;4.5
2024.0;12.0;11.0;14.0;30.34;30.34;29.34;31.34;2;26.3;80;4.5
2024.0;12.0;11.0;15.0;30.65;30.65;29.65;31.65;2;26.6;80;4.5
2024.0;12.0;11.0;16.0;30.65;30.65;29.65;31.65;2;26.6;80;4.5
2024.0;12.0;11.0;17.0;29.5;29.5;28.50;30.50;2;25.5;80;4.5
2024.0;12.0;11.0;18.0;30.22;30.22;29.22;31.22;2;26.2;80;4.5
2024.0;12.0;11.0;19.0;29.6;29.6;28.60;30.60;2;25.6;80;4.5
2024.0;12.0;11.0;20.0;29.17;29.17;28.17;30.17;2;25.2;80;4.5
2024.0;12.0;11.0;21.0;29.09;29.09;28.09;30.09;2;25.1;80;4.5
2024.0;12.0;11.0;22.0;28.17;28.17;27.17;29.17;2;24.2;80;4.5
2024.0;12.0;11.0;23.0;28.2;28.2;27.20;29.20;2;24.2;80;4.5
2024.0;12.0;11.0;24.0;26.53;26.53;25.53;27.53;2;22.5;80;4.5
2024.0;12.0;12.0;1.0;27.36;27.36;26.36;28.36;2;23.4;80;4.5
2024.0;12.0;12.0;2.0;26.0;26.0;25.00;27.00;2;22.0;80;4.5
2024.0;12.0;12.0;3.0;26.61;26.61;25.61;27.61;2;22.6;80;4.5
2024.0;12.0;12.0;4.0;26.0;26.0;25.00;27.00;2;22.0;80;4.5
2024.0;12.0;12.0;5.0;26.74;26.74;25.74;27.74;2;22.7;80;4.5
2024.0;12.0;12.0;6.0;26.83;26.83;25.83;27.83;2;22.8;80;4.5
2024.0;12.0;12.0;7.0;27.58;27.58;26.58;28.58;2;23.6;80;4.5
2024.0;12.0;12.0;8.0;28.19;28.19;27.19;29.19;2;24.2;80;4.5
2024.0;12.0;12.0;9.0;28.95;28.95;27.95;29.95;2;24.9;80;4.5
2024.0;12.0;12.0;10.0;28.62;28.62;27.62;29.62;2;24.6;80;4.5
2024.0;12.0;12.0;11.0;28.68;28.68;27.68;29.68;2;24.7;80;4.5
2024.0;12.0;12.0;12.0;30.08;30.08;29.08;31.08;2;26.1;80;4.5
2024.0;12.0;12.0;13.0;30.28;30.28;29.28;31.28;2;26.3;80;4.5
2024.0;12.0;12.0;14.0;30.94;30.94;29.94;31.94;2;26.9;80;4.5
2024.0;12.0;12.0;15.0;31.28;31.28;30.28;32.28;2;27.3;80;4.5
2024.0;12.0;12.0;16.0;30.46;30.46;29.46;31.46;2;26.5;80;4.5
2024.0;12.0;12.0;17.0;30.98;30.98;29.98;31.98;2;27.0;80;4.5
2024.0;12.0;12.0;18.0;29.46;29.46;28.46;30.46;2;25.5;80;4.5
2024.0;12.0;12.0;19.0;29.94;29.94;28.94;30.94;2;25.9;80;4.5
2024.0;12.0;12.0;20.0;29.12;29.12;28.12;30.12;2;25.1;80;4.5
2024.0;12.0;12.0;21.0;28.77;28.77;27.77;29.77;2;24.8;80;4.5
2024.0;12.0;12.0;22.0;28.1;28.1;27.10;29.10;2;24.1;80;4.5
2024.0;12.0;12.0;23.0;27.84;27.84;26.84;28.84;2;23.8;80;4.5
2024.0;12.0;12.0;24.0;27.29;27.29;26.29;28.29;2;23.3;80;4.5
2024.0;12.0;13.0;1.0;25.62;25.62;24.62;26.62;2;21.6;80;4.5
2024.0;12.0;13.0;2.0;27.06;27.06;26.06;28.06;2;23.1;80;4.5
2024.0;12.0;13.0;3.0;27.46;27.46;26.46;28.46;2;23.5;80;4.5
2024.0;12.0;13.0;4.0;26.08;26.08;25.08;27.08;2;22.1;80;4.5
2024.0;12.0;13.0;5.0;27.66;27.66;26.66;28.66;2;23.7;80;4.5
2024.0;12.0;13.0;6.0;25.91;25.91;24.91;26.91;2;21.9;80;4.5
2024.0;12.0;13.0;7.0;27.19;27.19;26.19;28.19;2;23.2;80;4.5
2024.0;12.0;13.0;8.0;27.96;27.96;26.96;28.96;2;24.0;80;4.5
2024.0;12.0;13.0;9.0;28.95;28.95;27.95;29.95;2;24.9;80;4.5
2024.0;12.0;13.0;10.0;29.16;29.16;28.16;30.16;2;25.2;80;4.5
2024.0;12.0;13.0;11.0;29.61;29.61;28.61;30.61;2;25.6;80;4.5
2024.0;12.0;13.0;12.0;29.88;29.88;28.88;30.88;2;25.9;80;4.5
2024.0;12.0;13.0;13.0;29.58;29.58;28.58;30.58;2;25.6;80;4.5
2024.0;12.0;13.0;14.0;30.24;30.24;29.24;31.24;2;26.2;80;4.5
2024.0;12.0;13.0;15.0;30.07;30.07;29.07;31.07;2;26.1;80;4.5
2024.0;12.0;13.0;16.0;30.83;30.83;29.83;31.83;2;26.8;80;4.5
2024.0;12.0;13.0;17.0;30.74;30.74;29.74;31.74;2;26.7;80;4.5
2024.0;12.0;13.0;18.0;29.72;29.72;28.72;30.72;2;25.7;80;4.5
2024.0;12.0;13.0;19.0;29.12;29.12;28.12;30.12;2;25.1;80;4.5
2024.0;12.0;13.0;20.0;29.21;29.21;28.21;30.21;2;25.2;80;4.5
2024.0;12.0;13.0;21.0;27.53;27.53;26.53;28.53;2;23.5;80;4.5
2024.0;12.0;13.0;22.0;28.92;28.92;27.92;29.92;2;24.9;80;4.5
2024.0;12.0;13.0;23.0;27.52;27.52;26.52;28.52;2;23.5;80;4.5
2024.0;12.0;13.0;24.0;27.65;27.65;26.65;28.65;2;23.6;80;4.5
2024.0;12.0;14.0;1.0;27.74;27.74;26.74;28.74;2;23.7;80;4.5
2024.0;12.0;14.0;2.0;26.93;26.93;25.93;27.93;2;22.9;80;4.5
2024.0;12.0;14.0;3.0;27.44;27.44;26.44;28.44;2;23.4;80;4.5
2024.0;12.0;14.0;4.0;27.22;27.22;26.22;28.22;2;23.2;80;4.5
2024.0;12.0;14.0;5.0;27.14;27.14;26.14;28.14;2;23.1;80;4.5
2024.0;12.0;14.0;6.0;26.9;26.9;25.90;27.90;2;22.9;80;4.5
2024.0;12.0;14.0;7.0;26.72;26.72;25.72;27.72;2;22.7;80;4.5
2024.0;12.0;14.0;8.0;27.15;27.15;26.15;28.15;2;23.1;80;4.5
2024.0;12.0;14.0;9.0;29.33;29.33;28.33;30.33;2;25.3;80;4.5
2024.0;12.0;14.0;10.0;29.53;29.53;28.53;30.53;2;25.5;80;4.5
2024.0;12.0;14.0;11.0;30.69;30.69;29.69;31.69;2;26.7;80;4.5
2024.0;12.0;14.0;12.0;29.98;29.98;28.98;30.98;2;26.0;80;4.5
2024.0;12.0;14.0;13.0;30.36;30.36;29.36;31.36;2;26.4;80;4.5
2024.0;12.0;14.0;14.0;30.39;30.39;29.39;31.39;2;26.4;80;4.5
2024.0;12.0;14.0;15.0;30.87;30.87;29.87;31.87;2;26.9;80;4.5
2024.0;12.0;14.0;16.0;30.67;30.67;29.67;31.67;2;26.7;80;4.5
2024.0;12.0;14.0;17.0;31.96;31.96;30.96;32.96;2;28.0;80;4.5
2024.0;12.0;14.0;18.0;30.64;30.64;29.64;31.64;2;26.6;80;4.5
2024.0;12.0;14.0;19.0;29.91;29.91;28.91;30.91;2;25.9;80;4.5
2024.0;12.0;14.0;20.0;28.88;28.88;27.88;29.88;2;24.9;80;4.5
2024.0;12.0;14.0;21.0;28.87;28.87;27.87;29.87;2;24.9;80;4.5
2024.0;12.0;14.0;22.0;27.71;27.71;26.71;28.71;2;23.7;80;4.5
2024.0;12.0;14.0;23.0;27.63;27.63;26.63;28.63;2;23.6;80;4.5
2024.0;12.0;14.0;24.0;27.08;27.08;26.08;28.08;2;23.1;80;4.5
2024.0;12.0;15.0;1.0;27.59;27.59;26.59;28.59;2;23.6;80;4.5
2024.0;12.0;15.0;2.0;25.94;25.94;24.94;26.94;2;21.9;80;4.5
2024.0;12.0;15.0;3.0;26.39;26.39;25.39;27.39;2;22.4;80;4.5
2024.0;12.0;15.0;4.0;26.94;26.94;25.94;27.94;2;22.9;80;4.5
2024.0;12.0;15.0;5.0;27.61;27.61;26.61;28.61;2;23.6;80;4.5
2024.0;12.0;15.0;6.0;27.16;27.16;26.16;28.16;2;23.2;80;4.5
2024.0;12.0;15.0;7.0;27.88;27.88;26.88;28.88;2;23.9;80;4.5
2024.0;12.0;15.0;8.0;28.37;28.37;27.37;29.37;2;24.4;80;4.5
2024.0;12.0;15.0;9.0;28.56;28.56;27.56;29.56;2;24.6;80;4.5
2024.0;12.0;15.0;10.0;29.19;29.19;28.19;30.19;2;25.2;80;4.5
2024.0;12.0;15.0;11.0;30.1;30.1;29.10;31.10;2;26.1;80;4.5
2024.0;12.0;15.0;12.0;29.85;29.85;28.85;30.85;2;25.9;80;4.5
2024.0;12.0;15.0;13.0;30.97;30.97;29.97;31.97;2;27.0;80;4.5
2024.0;12.0;15.0;14.0;30.16;30.16;29.16;31.16;2;26.2;80;4.5
2024.0;12.0;15.0;15.0;30.9;30.9;29.90;31.90;2;26.9;80;4.5
2024.0;12.0;15.0;16.0;29.32;29.32;28.32;30.32;2;25.3;80;4.5
2024.0;12.0;15.0;17.0;29.97;29.97;28.97;30.97;2;26.0;80;4.5
2024.0;12.0;15.0;18.0;30.25;30.25;29.25;31.25;2;26.2;80;4.5
2024.0;12.0;15.0;19.0;30.02;30.02;29.02;31.02;2;26.0;80;4.5
2024.0;12.0;15.0;20.0;29.23;29.23;28.23;30.23;2;25.2;80;4.5
2024.0;12.0;15.0;21.0;27.79;27.79;26.79;28.79;2;23.8;80;4.5
2024.0;12.0;15.0;22.0;28.27;28.27;27.27;29.27;2;24.3;80;4.5
2024.0;12.0;15.0;23.0;28.14;28.14;27.14;29.14;2;24.1;80;4.5
2024.0;12.0;15.0;24.0;26.98;26.98;25.98;27.98;2;23.0;80;4.5
2024.0;12.0;16.0;1.0;27.54;27.54;26.54;28.54;2;23.5;80;4.5
2024.0;12.0;16.0;2.0;26.59;26.59;25.59;27.59;2;22.6;80;4.5
2024.0;12.0;16.0;3.0;27.37;27.37;26.37;28.37;2;23.4;80;4.5
2024.0;12.0;16.0;4.0;26.59;26.59;25.59;27.59;2;22.6;80;4.5
2024.0;12.0;16.0;5.0;26.83;26.83;25.83;27.83;2;22.8;80;4.5
2024.0;12.0;16.0;6.0;26.7;26.7;25.70;27.70;2;22.7;80;4.5
2024.0;12.0;16.0;7.0;28.34;28.34;27.34;29.34;2;24.3;80;4.5
2024.0;12.0;16.0;8.0;28.03;28.03;27.03;29.03;2;24.0;80;4.5
2024.0;12.0;16.0;9.0;27.99;27.99;26.99;28.99;2;24.0;80;4.5
2024.0;12.0;16.0;10.0;29.19;29.19;28.19;30.19;2;25.2;80;4.5
2024.0;12.0;16.0;11.0;29.78;29.78;28.78;30.78;2;25.8;80;4.5
2024.0;12.0;16.0;12.0;29.79;29.79;28.79;30.79;2;25.8;80;4.5
2024.0;12.0;16.0;13.0;30.03;30.03;29.03;31.03;2;26.0;80;4.5
2024.0;12.0;16.0;14.0;31.3;31.3;30.30;32.30;2;27.3;80;4.5
2024.0;12.0;16.0;15.0;30.06;30.06;29.06;31.06;2;26.1;80;4.5
2024.0;12.0;16.0;16.0;30.35;30.35;29.35;31.35;2;26.4;80;4.5
2024.0;12.0;16.0;17.0;29.68;29.68;28.68;30.68;2;25.7;80;4.5
2024.0;12.0;16.0;18.0;29.3;29.3;28.30;30.30;2;25.3;80;4.5
2024.0;12.0;16.0;19.0;29.97;29.97;28.97;30.97;2;26.0;80;4.5
2024.0;12.0;16.0;20.0;29.17;29.17;28.17;30.17;2;25.2;80;4.5
2024.0;12.0;16.0;21.0;28.41;28.41;27.41;29.41;2;24.4;80;4.5
2024.0;12.0;16.0;22.0;28.01;28.01;27.01;29.01;2;24.0;80;4.5
2024.0;12.0;16.0;23.0;27.77;27.77;26.77;28.77;2;23.8;80;4.5
2024.0;12.0;16.0;24.0;27.44;27.44;26.44;28.44;2;23.4;80;4.5
2024.0;12.0;17.0;1.0;26.2;26.2;25.20;27.20;2;22.2;80;4.5
2024.0;12.0;17.0;2.0;26.18;26.18;25.18;27.18;2;22.2;80;4.5
2024.0;12.0;17.0;3.0;26.42;26.42;25.42;27.42;2;22.4;80;4.5
2024.0;12.0;17.0;4.0;27.2;27.2;26.20;28.20;2;23.2;80;4.5
2024.0;12.0;17.0;5.0;26.08;26.08;25.08;27.08;2;22.1;80;4.5
2024.0;12.0;17.0;6.0;27.46;27.46;26.46;28.46;2;23.5;80;4.5
2024.0;12.0;17.0;7.0;28.41;28.41;27.41;29.41;2;24.4;80;4.5
2024.0;12.0;17.0;8.0;28.1;28.1;27.10;29.10;2;24.1;80;4.5
2024.0;12.0;17.0;9.0;28.63;28.63;27.63;29.63;2;24.6;80;4.5
2024.0;12.0;17.0;10.0;29.19;29.19;28.19;30.19;2;25.2;80;4.5
2024.0;12.0;17.0;11.0;29.14;29.14;28.14;30.14;2;25.1;80;4.5
2024.0;12.0;17.0;12.0;30.71;30.71;29.71;31.71;2;26.7;80;4.5
2024.0;12.0;17.0;13.0;30.14;30.14;29.14;31.14;2;26.1;80;4.5
2024.0;12.0;17.0;14.0;30.55;30.55;29.55;31.55;2;26.6;80;4.5
2024.0;12.0;17.0;15.0;29.56;29.56;28.56;30.56;2;25.6;80;4.5
2024.0;12.0;17.0;16.0;30.41;30.41;29.41;31.41;2;26.4;80;4.5
2024.0;12.0;17.0;17.0;30.53;30.53;29.53;31.53;2;26.5;80;4.5
2024.0;12.0;17.0;18.0;30.15;30.15;29.15;31.15;2;26.1;80;4.5
2024.0;12.0;17.0;19.0;30.06;30.06;29.06;31.06;2;26.1;80;4.5
2024.0;12.0;17.0;20.0;29.24;29.24;28.24;30.24;2;25.2;80;4.5
2024.0;12.0;17.0;21.0;28.75;28.75;27.75;29.75;2;24.8;80;4.5
2024.0;12.0;17.0;22.0;28.28;28.28;27.28;29.28;2;24.3;80;4.5
2024.0;12.0;17.0;23.0;27.96;27.96;26.96;28.96;2;24.0;80;4.5
2024.0;12.0;17.0;24.0;27.68;27.68;26.68;28.68;2;23.7;80;4.5
2024.0;12.0;18.0;1.0;26.84;26.84;25.84;27.84;2;22.8;80;4.5
2024.0;12.0;18.0;2.0;26.54;26.54;25.54;27.54;2;22.5;80;4.5
2024.0;12.0;18.0;3.0;26.05;26.05;25.05;27.05;2;22.1;80;4.5
2024.0;12.0;18.0;4.0;26.86;26.86;25.86;27.86;2;22.9;80;4.5
2024.0;12.0;18.0;5.0;26.53;26.53;25.53;27.53;2;22.5;80;4.5
2024.0;12.0;18.0;6.0;27.55;27.55;26.55;28.55;2;23.6;80;4.5
2024.0;12.0;18.0;7.0;27.75;27.75;26.75;28.75;2;23.8;80;4.5
2024.0;12.0;18.0;8.0;28.28;28.28;27.28;29.28;2;24.3;80;4.5
2024.0;12.0;18.0;9.0;28.72;28.72;27.72;29.72;2;24.7;80;4.5
2024.0;12.0;18.0;10.0;28.02;28.02;27.02;29.02;2;24.0;80;4.5
2024.0;12.0;18.0;11.0;30.11;30.11;29.11;31.11;2;26.1;80;4.5
2024.0;12.0;18.0;12.0;29.62;29.62;28.62;30.62;2;25.6;80;4.5
2024.0;12.0;18.0;13.0;30.14;30.14;29.14;31.14;2;26.1;80;4.5
2024.0;12.0;18.0;14.0;30.36;30.36;29.36;31.36;2;26.4;80;4.5
2024.0;12.0;18.0;15.0;30.45;30.45;29.45;31.45;2;26.4;80;4.5
2024.0;12.0;18.0;16.0;30.82;30.82;29.82;31.82;2;26.8;80;4.5
2024.0;12.0;18.0;17.0;30.81;30.81;29.81;31.81;2;26.8;80;4.5
2024.0;12.0;18.0;18.0;29.32;29.32;28.32;30.32;2;25.3;80;4.5
2024.0;12.0;18.0;19.0;29.96;29.96;28.96;30.96;2;26.0;80;4.5
2024.0;12.0;18.0;20.0;29.35;29.35;28.35;30.35;2;25.4;80;4.5
2024.0;12.0;18.0;21.0;27.98;27.98;26.98;28.98;2;24.0;80;4.5
2024.0;12.0;18.0;22.0;27.79;27.79;26.79;28.79;2;23.8;80;4.5
2024.0;12.0;18.0;23.0;27.96;27.96;26.96;28.96;2;24.0;80;4.5
2024.0;12.0;18.0;24.0;27.78;27.78;26.78;28.78;2;23.8;80;4.5
2024.0;12.0;19.0;1.0;26.94;26.94;25.94;27.94;2;22.9;80;4.5
2024.0;12.0;19.0;2.0;26.27;26.27;25.27;27.27;2;22.3;80;4.5
2024.0;12.0;19.0;3.0;27.16;27.16;26.16;28.16;2;23.2;80;4.5
2024.0;12.0;19.0;4.0;26.93;26.93;25.93;27.93;2;22.9;80;4.5
2024.0;12.0;19.0;5.0;26.6;26.6;25.60;27.60;2;22.6;80;4.5
2024.0;12.0;19.0;6.0;27.01;27.01;26.01;28.01;2;23.0;80;4.5
2024.0;12.0;19.0;7.0;27.17;27.17;26.17;28.17;2;23.2;80;4.5
2024.0;12.0;19.0;8.0;28.66;28.66;27.66;29.66;2;24.7;80;4.5
2024.0;12.0;19.0;9.0;28.84;28.84;27.84;29.84;2;24.8;80;4.5
2024.0;12.0;19.0;10.0;29.47;29.47;28.47;30.47;2;25.5;80;4.5
2024.0;12.0;19.0;11.0;30.16;30.16;29.16;31.16;2;26.2;80;4.5
2024.0;12.0;19.0;12.0;30.25;30.25;29.25;31.25;2;26.2;80;4.5
2024.0;12.0;19.0;13.0;30.79;30.79;29.79;31.79;2;26.8;80;4.5
2024.0;12.0;19.0;14.0;30.8;30.8;29.80;31.80;2;26.8;80;4.5
2024.0;12.0;19.0;15.0;30.65;30.65;29.65;31.65;2;26.6;80;4.5
2024.0;12.0;19.0;16.0;30.62;30.62;29.62;31.62;2;26.6;80;4.5
2024.0;12.0;19.0;17.0;31.11;31.11;30.11;32.11;2;27.1;80;4.5
2024.0;12.0;19.0;18.0;30.29;30.29;29.29;31.29;2;26.3;80;4.5
2024.0;12.0;19.0;19.0;30.2;30.2;29.20;31.20;2;26.2;80;4.5
2024.0;12.0;19.0;20.0;29.43;29.43;28.43;30.43;2;25.4;80;4.5
2024.0;12.0;19.0;21.0;28.25;28.25;27.25;29.25;2;24.2;80;4.5
2024.0;12.0;19.0;22.0;28.26;28.26;27.26;29.26;2;24.3;80;4.5
2024.0;12.0;19.0;23.0;27.5;27.5;26.50;28.50;2;23.5;80;4.5
2024.0;12.0;19.0;24.0;27.13;27.13;26.13;28.13;2;23.1;80;4.5
2024.0;12.0;20.0;1.0;27.07;27.07;26.07;28.07;2;23.1;80;4.5
2024.0;12.0;20.0;2.0;26.45;26.45;25.45;27.45;2;22.4;80;4.5
2024.0;12.0;20.0;3.0;27.28;27.28;26.28;28.28;2;23.3;80;4.5
2024.0;12.0;20.0;4.0;26.48;26.48;25.48;27.48;2;22.5;80;4.5
2024.0;12.0;20.0;5.0;28.39;28.39;27.39;29.39;2;24.4;80;4.5
2024.0;12.0;20.0;6.0;26.88;26.88;25.88;27.88;2;22.9;80;4.5
2024.0;12.0;20.0;7.0;27.53;27.53;26.53;28.53;2;23.5;80;4.5
2024.0;12.0;20.0;8.0;27.5;27.5;26.50;28.50;2;23.5;80;4.5
2024.0;12.0;20.0;9.0;28.12;28.12;27.12;29.12;2;24.1;80;4.5
2024.0;12.0;20.0;10.0;29.19;29.19;28.19;30.19;2;25.2;80;4.5
2024.0;12.0;20.0;11.0;29.33;29.33;28.33;30.33;2;25.3;80;4.5
2024.0;12.0;20.0;12.0;29.42;29.42;28.42;30.42;2;25.4;80;4.5
2024.0;12.0;20.0;13.0;29.77;29.77;28.77;30.77;2;25.8;80;4.5
2024.0;12.0;20.0;14.0;30.98;30.98;29.98;31.98;2;27.0;80;4.5
2024.0;12.0;20.0;15.0;30.44;30.44;29.44;31.44;2;26.4;80;4.5
2024.0;12.0;20.0;16.0;31.25;31.25;30.25;32.25;2;27.2;80;4.5
2024.0;12.0;20.0;17.0;29.81;29.81;28.81;30.81;2;25.8;80;4.5
2024.0;12.0;20.0;18.0;29.47;29.47;28.47;30.47;2;25.5;80;4.5
2024.0;12.0;20.0;19.0;29.79;29.79;28.79;30.79;2;25.8;80;4.5
2024.0;12.0;20.0;20.0;29.36;29.36;28.36;30.36;2;25.4;80;4.5
2024.0;12.0;20.0;21.0;28.2;28.2;27.20;29.20;2;24.2;80;4.5
2024.0;12.0;20.0;22.0;28.22;28.22;27.22;29.22;2;24.2;80;4.5
2024.0;12.0;20.0;23.0;26.66;26.66;25.66;27.66;2;22.7;80;4.5
2024.0;12.0;20.0;24.0;27.62;27.62;26.62;28.62;2;23.6;80;4.5
2024.0;12.0;21.0;1.0;26.43;26.43;25.43;27.43;2;22.4;80;4.5
2024.0;12.0;21.0;2.0;26.95;26.95;25.95;27.95;2;22.9;80;4.5
2024.0;12.0;21.0;3.0;27.36;27.36;26.36;28.36;2;23.4;80;4.5
2024.0;12.0;21.0;4.0;26.09;26.09;25.09;27.09;2;22.1;80;4.5
2024.0;12.0;21.0;5.0;26.85;26.85;25.85;27.85;2;22.9;80;4.5
2024.0;12.0;21.0;6.0;26.91;26.91;25.91;27.91;2;22.9;80;4.5
2024.0;12.0;21.0;7.0;27.68;27.68;26.68;28.68;2;23.7;80;4.5
2024.0;12.0;21.0;8.0;28.99;28.99;27.99;29.99;2;25.0;80;4.5
2024.0;12.0;21.0;9.0;29.04;29.04;28.04;30.04;2;25.0;80;4.5
2024.0;12.0;21.0;10.0;29.32;29.32;28.32;30.32;2;25.3;80;4.5
2024.0;12.0;21.0;11.0;29.49;29.49;28.49;30.49;2;25.5;80;4.5
2024.0;12.0;21.0;12.0;30.5;30.5;29.50;31.50;2;26.5;80;4.5
2024.0;12.0;21.0;13.0;30.45;30.45;29.45;31.45;2;26.4;80;4.5
2024.0;12.0;21.0;14.0;30.57;30.57;29.57;31.57;2;26.6;80;4.5
2024.0;12.0;21.0;15.0;30.53;30.53;29.53;31.53;2;26.5;80;4.5
2024.0;12.0;21.0;16.0;30.95;30.95;29.95;31.95;2;26.9;80;4.5
2024.0;12.0;21.0;17.0;31.19;31.19;30.19;32.19;2;27.2;80;4.5
2024.0;12.0;21.0;18.0;30.27;30.27;29.27;31.27;2;26.3;80;4.5
2024.0;12.0;21.0;19.0;29.24;29.24;28.24;30.24;2;25.2;80;4.5
2024.0;12.0;21.0;20.0;29.42;29.42;28.42;30.42;2;25.4;80;4.5
2024.0;12.0;21.0;21.0;28.89;28.89;27.89;29.89;2;24.9;80;4.5
2024.0;12.0;21.0;22.0;28.3;28.3;27.30;29.30;2;24.3;80;4.5
2024.0;12.0;21.0;23.0;28.29;28.29;27.29;29.29;2;24.3;80;4.5
2024.0;12.0;21.0;24.0;27.8;27.8;26.80;28.80;2;23.8;80;4.5
2024.0;12.0;22.0;1.0;25.92;25.92;24.92;26.92;2;21.9;80;4.5
2024.0;12.0;22.0;2.0;27.48;27.48;26.48;28.48;2;23.5;80;4.5
2024.0;12.0;22.0;3.0;26.48;26.48;25.48;27.48;2;22.5;80;4.5
2024.0;12.0;22.0;4.0;27.47;27.47;26.47;28.47;2;23.5;80;4.5
2024.0;12.0;22.0;5.0;26.57;26.57;25.57;27.57;2;22.6;80;4.5
2024.0;12.0;22.0;6.0;27.42;27.42;26.42;28.42;2;23.4;80;4.5
2024.0;12.0;22.0;7.0;27.7;27.7;26.70;28.70;2;23.7;80;4.5
2024.0;12.0;22.0;8.0;27.85;27.85;26.85;28.85;2;23.9;80;4.5
2024.0;12.0;22.0;9.0;28.46;28.46;27.46;29.46;2;24.5;80;4.5
2024.0;12.0;22.0;10.0;28.6;28.6;27.60;29.60;2;24.6;80;4.5
2024.0;12.0;22.0;11.0;29.89;29.89;28.89;30.89;2;25.9;80;4.5
2024.0;12.0;22.0;12.0;30.08;30.08;29.08;31.08;2;26.1;80;4.5
2024.0;12.0;22.0;13.0;31.38;31.38;30.38;32.38;2;27.4;80;4.5
2024.0;12.0;22.0;14.0;30.96;30.96;29.96;31.96;2;27.0;80;4.5
2024.0;12.0;22.0;15.0;31.6;31.6;30.60;32.60;2;27.6;80;4.5
2024.0;12.0;22.0;16.0;30.92;30.92;29.92;31.92;2;26.9;80;4.5
2024.0;12.0;22.0;17.0;30.29;30.29;29.29;31.29;2;26.3;80;4.5
2024.0;12.0;22.0;18.0;29.91;29.91;28.91;30.91;2;25.9;80;4.5
2024.0;12.0;22.0;19.0;30.08;30.08;29.08;31.08;2;26.1;80;4.5
2024.0;12.0;22.0;20.0;27.81;27.81;26.81;28.81;2;23.8;80;4.5
2024.0;12.0;22.0;21.0;29.15;29.15;28.15;30.15;2;25.1;80;4.5
2024.0;12.0;22.0;22.0;27.81;27.81;26.81;28.81;2;23.8;80;4.5
2024.0;12.0;22.0;23.0;27.71;27.71;26.71;28.71;2;23.7;80;4.5
2024.0;12.0;22.0;24.0;27.09;27.09;26.09;28.09;2;23.1;80;4.5
2024.0;12.0;23.0;1.0;26.81;26.81;25.81;27.81;2;22.8;80;4.5
2024.0;12.0;23.0;2.0;27.14;27.14;26.14;28.14;2;23.1;80;4.5
2024.0;12.0;23.0;3.0;25.8;25.8;24.80;26.80;2;21.8;80;4.5
2024.0;12.0;23.0;4.0;27.46;27.46;26.46;28.46;2;23.5;80;4.5
2024.0;12.0;23.0;5.0;26.32;26.32;25.32;27.32;2;22.3;80;4.5
2024.0;12.0;23.0;6.0;27.86;27.86;26.86;28.86;2;23.9;80;4.5
2024.0;12.0;23.0;7.0;27.35;27.35;26.35;28.35;2;23.4;80;4.5
2024.0;12.0;23.0;8.0;27.9;27.9;26.90;28.90;2;23.9;80;4.5
2024.0;12.0;23.0;9.0;28.36;28.36;27.36;29.36;2;24.4;80;4.5
2024.0;12.0;23.0;10.0;28.93;28.93;27.93;29.93;2;24.9;80;4.5
